Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,X,Y
Alistair Overeem,47,3.54,62,2.15,59,1.39,53,73,0.9,0,0
Anderson Silva,42,3.04,62,1.98,61,0.52,77,69,0.8,0,0
Charles Oliveira,26,3.27,51,3.08,54,2.61,42,57,2.8,0,2
Chuck Liddell,26,2.97,35,2.71,56,0.44,75,81,0,5,0
Conor McGregor,12,5.43,49,4.4,55,0.75,62,70,0,12,9
Dan Henderson,42,2.44,47,2.7,51,1.52,52,57,0.3,0,0
Daniel Cormier,22,4.25,52,2.75,56,1.95,44,77,0.5,3,0
Demian Maia,32,1.82,43,2.03,63,2.55,26,61,1,0,2
Fabricio Werdum,31,3.61,51,2.45,56,1.65,30,31,1.1,0,2
Israel Adesanya,8,3.96,48,2.4,65,0,0,86,0.3,8,11
Jacare Souza,28,2.54,46,2.81,62,2.46,38,60,1.4,0,2
Kazushi Sakuraba,44,1.26,41,2.03,51,1.26,31,48,1.7,0,0
Khabib Nurmagomedov,13,4.11,49,1.65,67,5.35,47,84,0.7,12,0
Nate Diaz,30,4.62,45,3.78,53,1.19,30,42,1.4,0,1
